timestamp, latitude, longitude 
1545365126,49.3123,128.7256
1545365136,49.1101,129.6300
1545365146,48.9003,130.5266
1545365156,48.6828,131.4152
1545365166,48.4579,132.2957
1545365176,48.2375,133.1245
1545365186,47.9985,133.9886
1545365196,47.7525,134.8443
1545365206,47.4994,135.6914
1545365216,47.2396,136.5299
1545365226,46.9731,137.3598
1545365236,46.7000,138.1808
1545365246,46.4205,138.9931
1545365256,46.1347,139.7965
1545365266,45.8427,140.5911
1545365276,45.5446,141.3769
1545365286,45.2407,142.1539
1545365296,44.9309,142.9220
1545365306,44.6155,143.6814
1545365316,44.2945,144.4321
1545365326,43.9681,145.1740
1545365336,43.6364,145.9074
1545365346,43.2995,146.6321
1545365356,42.9575,147.3483
1545365366,42.6105,148.0562
1545365376,42.2588,148.7556
1545365386,41.9023,149.4466
1545365396,41.5411,150.1296
1545365406,41.1755,150.8044
1545365416,40.8055,151.4713
1545365426,40.4500,152.0974
1545365436,40.0717,152.7488
1545365446,39.6893,153.3926
1545365456,39.3029,154.0287
1545365466,38.9126,154.6574
1545365476,38.5186,155.2787
1545365486,38.1208,155.8927
1545365496,37.7194,156.4996
1545365506,37.3144,157.0995
1545365516,36.9061,157.6924
1545365526,36.4944,158.2785
1545365536,36.0794,158.8580
1545365546,35.6613,159.4309
1545365556,35.2399,159.9975
1545365566,34.8156,160.5577
1545365576,34.3884,161.1117
1545365586,33.9583,161.6596
1545365596,33.5255,162.2015
1545365606,33.0899,162.7376
1545365616,32.6517,163.2680
1545365626,32.2109,163.7927
1545365636,31.7677,164.3120
1545365646,31.3219,164.8259
1545365656,30.8738,165.3345
1545365666,30.4234,165.8380
1545365676,29.9707,166.3365
1545365686,29.5159,166.8300
1545365696,29.0589,167.3188
1545365706,28.6228,167.7787
1545365716,28.1618,168.2584
1545365726,27.6989,168.7335
1545365736,27.2341,169.2043
1545365746,26.7674,169.6708
1545365756,26.2989,170.1331
1545365766,25.8287,170.5914
1545365776,25.3568,171.0456
1545365786,24.8833,171.4960
1545365796,24.4081,171.9426
1545365806,23.9314,172.3856
1545365816,23.4532,172.8249
1545365826,22.9735,173.2608
1545365836,22.4925,173.6932
1545365846,22.0100,174.1223
1545365856,21.5261,174.5483
1545365866,21.0410,174.9712
1545365876,20.5546,175.3910
